source,target,weight,symptom
1,1,NaN,0000
2,2,NaN,0000
3,3,NaN,0000
4,4,NaN,0000
5,5,NaN,0000
6,6,NaN,0100
7,7,NaN,1100
8,8,NaN,0000
9,9,NaN,0000
10,10,NaN,0000
11,11,NaN,0000
12,12,NaN,0000
13,13,NaN,0000
14,14,NaN,0000
15,15,NaN,0000
16,16,NaN,0000
17,17,NaN,0000
18,18,NaN,1101
19,19,NaN,0000
20,20,NaN,0000
21,21,NaN,1100
22,22,NaN,1111
23,23,NaN,1100
24,24,NaN,0000
25,25,NaN,0000
26,26,NaN,0000
27,27,NaN,0100
28,28,NaN,0000
29,29,NaN,0101
30,30,NaN,0000
31,31,NaN,0000
32,32,NaN,0000
33,33,NaN,0000
34,34,NaN,0100
35,35,NaN,0000
36,36,NaN,0000
37,37,NaN,0100
38,38,NaN,0000
39,39,NaN,0000
40,40,NaN,0100
41,41,NaN,0000
42,42,NaN,0000
43,43,NaN,0000
44,44,NaN,1100
45,45,NaN,0000
46,46,NaN,0000
47,47,NaN,1100
48,48,NaN,0000
49,49,NaN,1000
50,50,NaN,0000
51,51,NaN,0000
52,52,NaN,0100
53,53,NaN,0000
54,54,NaN,0000
55,55,NaN,0000
56,56,NaN,0000
57,57,NaN,0000
58,58,NaN,1000
59,59,NaN,0000
60,60,NaN,0000
61,61,NaN,1100
62,62,NaN,0000
63,63,NaN,0000
64,64,NaN,1110
65,65,NaN,0000
66,66,NaN,0000
67,67,NaN,0000
68,68,NaN,0000
69,69,NaN,0000
70,70,NaN,0000
71,71,NaN,0000
72,72,NaN,1100
73,73,NaN,0000
74,74,NaN,0000
75,75,NaN,1100
76,76,NaN,0100
77,77,NaN,0000
78,78,NaN,0000
79,79,NaN,1111
80,80,NaN,0000
47,64,1509,NaN
20,71,14,NaN
33,71,12,NaN
42,71,32,NaN
44,71,52,NaN
47,71,35,NaN
71,77,25,NaN
1,16,6,NaN
11,16,16,NaN
16,18,17,NaN
16,44,32,NaN
16,46,39,NaN
16,52,44,NaN
16,76,9,NaN
16,80,17,NaN
1,52,17,NaN
11,52,9,NaN
24,52,4,NaN
33,52,1,NaN
52,52,10,NaN
52,57,9,NaN
52,80,7,NaN
42,47,434,NaN
47,68,78,NaN
47,77,136,NaN
36,70,49,NaN
42,70,406,NaN
15,48,23,NaN
11,80,139,NaN
44,80,113,NaN
11,46,115,NaN
35,46,80,NaN
46,52,14,NaN
46,80,33,NaN
23,71,6,NaN
24,71,3,NaN
11,18,208,NaN
18,35,171,NaN
18,46,246,NaN
18,60,177,NaN
18,76,232,NaN
46,76,134,NaN
43,47,159,NaN
18,49,53,NaN
1,46,3,NaN
33,80,33,NaN
76,80,3,NaN
4,52,2,NaN
47,70,52,NaN
24,70,57,NaN
4,16,3,NaN
69,72,643,NaN
4,46,24,NaN
4,80,28,NaN
16,57,27,NaN
16,49,3,NaN
70,80,2,NaN
1,58,15,NaN
20,58,3,NaN
57,58,13,NaN
58,63,9,NaN
19,46,1,NaN
29,72,8,NaN
59,72,3,NaN
35,80,4,NaN
52,70,25,NaN
2,70,27,NaN
18,19,4,NaN
2,52,8,NaN
20,59,4,NaN
30,59,15,NaN
36,59,18,NaN
42,59,39,NaN
59,66,2,NaN
59,71,8,NaN
59,77,2,NaN
47,59,172,NaN
68,72,180,NaN
46,72,66,NaN
21,30,9,NaN
21,44,46,NaN
