source,target,weight,symptom
1,1,NaN,0000
2,2,NaN,0000
3,3,NaN,0000
4,4,NaN,0001
5,5,NaN,0000
6,6,NaN,0100
7,7,NaN,0100
8,8,NaN,0100
9,9,NaN,0000
10,10,NaN,0000
11,11,NaN,0000
12,12,NaN,0000
13,13,NaN,0000
14,14,NaN,0000
15,15,NaN,0000
16,16,NaN,0000
17,17,NaN,0000
18,18,NaN,0000
19,19,NaN,0000
20,20,NaN,0000
21,21,NaN,0000
22,22,NaN,0000
23,23,NaN,1100
24,24,NaN,0000
25,25,NaN,0000
26,26,NaN,0000
27,27,NaN,0000
28,28,NaN,0000
29,29,NaN,0101
30,30,NaN,0000
31,31,NaN,0000
32,32,NaN,0000
33,33,NaN,0000
34,34,NaN,0000
35,35,NaN,0000
36,36,NaN,0000
37,37,NaN,0100
38,38,NaN,0000
39,39,NaN,0000
40,40,NaN,0000
41,41,NaN,0000
42,42,NaN,0000
43,43,NaN,0000
44,44,NaN,0100
45,45,NaN,0000
46,46,NaN,0000
47,47,NaN,0000
48,48,NaN,0000
49,49,NaN,1100
50,50,NaN,0000
51,51,NaN,0000
52,52,NaN,0000
53,53,NaN,0000
54,54,NaN,0000
55,55,NaN,0000
56,56,NaN,0000
57,57,NaN,0000
58,58,NaN,1000
59,59,NaN,0000
60,60,NaN,0000
61,61,NaN,0000
62,62,NaN,0000
63,63,NaN,0000
64,64,NaN,1100
65,65,NaN,0000
66,66,NaN,0000
67,67,NaN,0000
68,68,NaN,0000
69,69,NaN,0000
70,70,NaN,0000
71,71,NaN,0000
72,72,NaN,1100
73,73,NaN,0000
74,74,NaN,0000
75,75,NaN,0100
76,76,NaN,0100
77,77,NaN,0000
78,78,NaN,0000
79,79,NaN,1100
80,80,NaN,0000
4,46,200,NaN
43,46,3,NaN
46,64,7,NaN
15,75,38,NaN
40,75,22,NaN
36,80,100,NaN
59,80,57,NaN
70,80,35,NaN
21,34,110,NaN
21,36,124,NaN
21,42,177,NaN
21,70,354,NaN
21,80,14,NaN
60,67,62,NaN
5,47,478,NaN
20,47,81,NaN
34,47,450,NaN
42,47,468,NaN
44,47,55,NaN
47,59,260,NaN
47,77,396,NaN
34,70,324,NaN
42,70,521,NaN
59,70,384,NaN
21,27,198,NaN
27,42,332,NaN
27,70,513,NaN
20,71,40,NaN
71,77,172,NaN
1,57,12,NaN
4,43,34,NaN
4,64,28,NaN
20,59,53,NaN
34,59,59,NaN
36,59,81,NaN
42,59,91,NaN
42,80,42,NaN
47,68,117,NaN
1,2,8,NaN
1,24,10,NaN
44,59,7,NaN
59,77,25,NaN
46,79,11,NaN
47,71,51,NaN
1,52,6,NaN
44,71,21,NaN
4,79,30,NaN
1,58,74,NaN
24,58,10,NaN
57,58,105,NaN
21,44,39,NaN
21,59,93,NaN
36,70,138,NaN
44,70,60,NaN
27,36,161,NaN
27,44,56,NaN
27,59,226,NaN
5,71,31,NaN
4,5,7,NaN
5,43,8,NaN
5,46,16,NaN
43,79,8,NaN
45,78,4,NaN
68,78,10,NaN
75,78,12,NaN
67,75,13,NaN
20,80,49,NaN
44,80,211,NaN
47,70,152,NaN
15,67,14,NaN
15,78,6,NaN
35,78,4,NaN
77,78,2,NaN
1,80,2,NaN
1,21,1,NaN
1,70,3,NaN
24,27,53,NaN
1,61,445,NaN
63,71,25,NaN
36,47,57,NaN
20,27,86,NaN
