source,target,time,prob2
31,8,2009-04-21 00:00:12,0.133
31,42,2009-04-21 00:00:12,0.112
31,56,2009-04-21 00:00:12,0.112
31,59,2009-04-21 00:00:12,0.082
31,62,2009-04-21 00:00:12,0.032
31,64,2009-04-21 00:00:12,0.163
21,8,2009-04-21 00:00:26,0.193
21,31,2009-04-21 00:00:26,0.38
21,56,2009-04-21 00:00:26,0.11
21,57,2009-04-21 00:00:26,0.685
21,62,2009-04-21 00:00:26,0.04
21,64,2009-04-21 00:00:26,
15,48,2009-04-21 00:00:56,0.641
1,8,2009-04-21 00:01:35,0.298
1,8,2009-04-21 00:01:35,0.298
1,21,2009-04-21 00:01:35,0.257
1,21,2009-04-21 00:01:35,0.257
1,42,2009-04-21 00:01:35,0.068
1,42,2009-04-21 00:01:35,0.068
1,61,2009-04-21 00:01:35,0.882
1,61,2009-04-21 00:01:35,0.882
1,62,2009-04-21 00:01:35,0.025
1,62,2009-04-21 00:01:35,0.025
27,8,2009-04-21 00:01:41,0.078
27,21,2009-04-21 00:01:41,0.644
27,31,2009-04-21 00:01:41,0.359
27,42,2009-04-21 00:01:41,0.01
27,57,2009-04-21 00:01:41,0.683
27,59,2009-04-21 00:01:41,0.053
27,61,2009-04-21 00:01:41,0.352
27,64,2009-04-21 00:01:41,0
58,5,2009-04-21 00:02:27,0.204
58,33,2009-04-21 00:02:27,
58,61,2009-04-21 00:02:27,0.312
58,62,2009-04-21 00:02:27,0
5,42,2009-04-21 00:02:46,0.368
5,43,2009-04-21 00:02:46,0.265
5,64,2009-04-21 00:02:46,
5,77,2009-04-21 00:02:46,0.091
72,22,2009-04-21 00:02:51,0.496
72,52,2009-04-21 00:02:51,0.008
72,68,2009-04-21 00:02:51,0.254
72,79,2009-04-21 00:02:51,0.328
72,80,2009-04-21 00:02:51,
18,11,2009-04-21 00:03:19,0.024
18,46,2009-04-21 00:03:19,0.163
18,49,2009-04-21 00:03:19,0.24
18,60,2009-04-21 00:03:19,0.724
18,67,2009-04-21 00:03:19,0.617
46,2,2009-04-21 00:03:59,0.333
46,11,2009-04-21 00:03:59,0.093
46,18,2009-04-21 00:03:59,0.143
46,49,2009-04-21 00:03:59,0
23,20,2009-04-21 00:04:03,0.07
23,33,2009-04-21 00:04:03,
23,43,2009-04-21 00:04:03,
23,45,2009-04-21 00:04:03,0
23,77,2009-04-21 00:04:03,0.012
69,22,2009-04-21 00:04:08,0.342
69,72,2009-04-21 00:04:08,0.439
69,79,2009-04-21 00:04:08,0.332
52,22,2009-04-21 00:04:44,0.028
52,72,2009-04-21 00:04:44,0.03
52,79,2009-04-21 00:04:44,0.011
75,56,2009-04-21 00:04:44,0
30,20,2009-04-21 00:04:47,0.694
30,24,2009-04-21 00:04:47,
30,28,2009-04-21 00:04:47,0.133
30,33,2009-04-21 00:04:47,
30,42,2009-04-21 00:04:47,0.342
30,43,2009-04-21 00:04:47,0.269
30,64,2009-04-21 00:04:47,
30,77,2009-04-21 00:04:47,
2,46,2009-04-21 00:05:17,0.364
2,61,2009-04-21 00:05:17,0
31,8,2009-04-21 00:05:47,0.133
31,20,2009-04-21 00:05:47,0.151
31,21,2009-04-21 00:05:47,0.355
31,24,2009-04-21 00:05:47,0.25
31,42,2009-04-21 00:05:47,0.112
31,56,2009-04-21 00:05:47,0.112
31,57,2009-04-21 00:05:47,0.409
31,59,2009-04-21 00:05:47,0.082
31,62,2009-04-21 00:05:47,0.032
31,64,2009-04-21 00:05:47,0.163
21,33,2009-04-21 00:05:54,
15,48,2009-04-21 00:06:12,0.641
1,2,2009-04-21 00:06:52,0
1,2,2009-04-21 00:06:52,0
1,24,2009-04-21 00:06:52,
1,24,2009-04-21 00:06:52,
1,61,2009-04-21 00:06:52,0.882
1,61,2009-04-21 00:06:52,0.882
27,8,2009-04-21 00:06:57,0.078
27,31,2009-04-21 00:06:57,0.359
27,57,2009-04-21 00:06:57,0.683
27,59,2009-04-21 00:06:57,0.053
27,64,2009-04-21 00:06:57,0
58,33,2009-04-21 00:07:43,
58,62,2009-04-21 00:07:43,0
64,8,2009-04-21 00:07:57,
64,20,2009-04-21 00:07:57,0
64,28,2009-04-21 00:07:57,
64,30,2009-04-21 00:07:57,
64,31,2009-04-21 00:07:57,0.543
64,42,2009-04-21 00:07:57,
64,57,2009-04-21 00:07:57,
64,59,2009-04-21 00:07:57,
64,62,2009-04-21 00:07:57,0
5,42,2009-04-21 00:08:01,0.368
5,64,2009-04-21 00:08:01,
5,77,2009-04-21 00:08:01,0.091
5,79,2009-04-21 00:08:01,0.468
72,22,2009-04-21 00:08:08,0.496
72,44,2009-04-21 00:08:08,0.059
72,52,2009-04-21 00:08:08,0.008
72,79,2009-04-21 00:08:08,0.328
68,22,2009-04-21 00:08:09,0.263
68,35,2009-04-21 00:08:09,0.256
68,44,2009-04-21 00:08:09,0
68,49,2009-04-21 00:08:09,
68,79,2009-04-21 00:08:09,0.25
18,9,2009-04-21 00:08:34,0
18,11,2009-04-21 00:08:34,0.024
18,46,2009-04-21 00:08:34,0.163
18,49,2009-04-21 00:08:34,0.24
18,60,2009-04-21 00:08:34,0.724
18,67,2009-04-21 00:08:34,0.617
46,2,2009-04-21 00:09:15,0.333
46,11,2009-04-21 00:09:15,0.093
46,18,2009-04-21 00:09:15,0.143
46,60,2009-04-21 00:09:15,0.16
46,61,2009-04-21 00:09:15,0.187
23,30,2009-04-21 00:09:18,0.132
